Order ID,Order Date,CustomerName,State,City,Year,Month,Month Name,Quarter
B-25601,2018-04-01,Bharat,Gujarat,Ahmedabad,2018,4,April,2018Q2
B-25602,2018-04-01,Pearl,Maharashtra,Pune,2018,4,April,2018Q2
B-25603,2018-04-03,Jahan,Madhya Pradesh,Bhopal,2018,4,April,2018Q2
B-25604,2018-04-03,Divsha,Rajasthan,Jaipur,2018,4,April,2018Q2
B-25605,2018-04-05,Kasheen,West Bengal,Kolkata,2018,4,April,2018Q2
B-25606,2018-04-06,Hazel,Karnataka,Bangalore,2018,4,April,2018Q2
B-25607,2018-04-06,Sonakshi,Jammu and Kashmir,Kashmir,2018,4,April,2018Q2
B-25608,2018-04-08,Aarushi,Tamil Nadu,Chennai,2018,4,April,2018Q2
B-25609,2018-04-09,Jitesh,Uttar Pradesh,Lucknow,2018,4,April,2018Q2
B-25610,2018-04-09,Yogesh,Bihar,Patna,2018,4,April,2018Q2
B-25611,2018-04-11,Anita,Kerala ,Thiruvananthapuram,2018,4,April,2018Q2
B-25612,2018-04-12,Shrichand,Punjab,Chandigarh,2018,4,April,2018Q2
B-25613,2018-04-12,Mukesh,Haryana,Chandigarh,2018,4,April,2018Q2
B-25614,2018-04-13,Vandana,Himachal Pradesh,Simla,2018,4,April,2018Q2
B-25615,2018-04-15,Bhavna,Sikkim,Gangtok,2018,4,April,2018Q2
B-25616,2018-04-15,Kanak,Goa,Goa,2018,4,April,2018Q2
B-25617,2018-04-17,Sagar,Nagaland,Kohima,2018,4,April,2018Q2
B-25618,2018-04-18,Manju,Andhra Pradesh,Hyderabad,2018,4,April,2018Q2
B-25619,2018-04-18,Ramesh,Gujarat,Ahmedabad,2018,4,April,2018Q2
B-25620,2018-04-20,Sarita,Maharashtra,Pune,2018,4,April,2018Q2
B-25621,2018-04-20,Deepak,Madhya Pradesh,Bhopal,2018,4,April,2018Q2
B-25622,2018-04-22,Monisha,Rajasthan,Jaipur,2018,4,April,2018Q2
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,2018,4,April,2018Q2
B-25624,2018-04-22,Vini,Karnataka,Bangalore,2018,4,April,2018Q2
B-25625,2018-04-23,Pinky,Jammu and Kashmir,Kashmir,2018,4,April,2018Q2
B-25626,2018-04-23,Bhishm,Maharashtra,Mumbai,2018,4,April,2018Q2
B-25627,2018-04-23,Hitika,Madhya Pradesh,Indore,2018,4,April,2018Q2
B-25628,2018-04-24,Pooja,Bihar,Patna,2018,4,April,2018Q2
B-25629,2018-04-24,Hemant,Kerala ,Thiruvananthapuram,2018,4,April,2018Q2
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,2018,4,April,2018Q2
B-25631,2018-04-24,Ritu,Haryana,Chandigarh,2018,4,April,2018Q2
B-25632,2018-04-25,Manish,Himachal Pradesh,Simla,2018,4,April,2018Q2
B-25633,2018-04-26,Amit,Sikkim,Gangtok,2018,4,April,2018Q2
B-25634,2018-04-26,Sanjay,Goa,Goa,2018,4,April,2018Q2
B-25635,2018-04-26,Nidhi,Nagaland,Kohima,2018,4,April,2018Q2
B-25636,2018-04-26,Nishi,Maharashtra,Mumbai,2018,4,April,2018Q2
B-25637,2018-04-26,Ashmi,Madhya Pradesh,Indore,2018,4,April,2018Q2
B-25638,2018-04-26,Parth,Maharashtra,Pune,2018,4,April,2018Q2
B-25639,2018-04-27,Lisha,Madhya Pradesh,Bhopal,2018,4,April,2018Q2
B-25640,2018-04-27,Paridhi,Rajasthan,Jaipur,2018,4,April,2018Q2
B-25641,2018-04-27,Parishi,West Bengal,Kolkata,2018,4,April,2018Q2
B-25642,2018-04-28,Ajay,Karnataka,Bangalore,2018,4,April,2018Q2
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,2018,4,April,2018Q2
B-25644,2018-04-30,Mayank,Maharashtra,Mumbai,2018,4,April,2018Q2
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,2018,5,May,2018Q2
B-25646,2018-05-01,Sonal,Bihar,Patna,2018,5,May,2018Q2
B-25647,2018-05-03,Sharda,Kerala ,Thiruvananthapuram,2018,5,May,2018Q2
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,2018,5,May,2018Q2
B-25649,2018-05-05,Rachna,Haryana,Chandigarh,2018,5,May,2018Q2
